estacion;latitud;altitud;a�o;mes;dia;precipitacion
  Osorno Ad.;40&deg 36' 52'' S;61;2021;2;12;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2021;2;13;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2021;2;14;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2021;2;15;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2021;2;16;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2021;2;17;8.0
  Osorno Ad.;40&deg 36' 52'' S;61;2021;2;18;1.6
  Osorno Ad.;40&deg 36' 52'' S;61;2021;2;19;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2021;2;20;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2021;2;21;0.2
  Osorno Ad.;40&deg 36' 52'' S;61;2021;2;22;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2021;2;23;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2021;2;24;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2021;2;25;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2021;2;26;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2021;2;27;0.2
  Osorno Ad.;40&deg 36' 52'' S;61;2021;2;28;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2013;3;1;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2013;3;2;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2013;3;3;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2013;3;4;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2013;3;5;5.9
  Osorno Ad.;40&deg 36' 52'' S;61;2013;3;6;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2013;3;7;0.2
  Osorno Ad.;40&deg 36' 52'' S;61;2013;3;8;5.7
  Osorno Ad.;40&deg 36' 52'' S;61;2013;3;9;2.0
  Osorno Ad.;40&deg 36' 52'' S;61;2013;3;10;0.1
  Osorno Ad.;40&deg 36' 52'' S;61;2013;3;11;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2013;3;12;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2013;3;13;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2013;3;14;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2013;3;15;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2013;3;16;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2013;3;17;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2013;3;18;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2013;3;19;8.2
  Osorno Ad.;40&deg 36' 52'' S;61;2013;3;20;2.1
  Osorno Ad.;40&deg 36' 52'' S;61;2013;3;21;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2013;3;22;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2013;3;23;7.5
  Osorno Ad.;40&deg 36' 52'' S;61;2013;3;24;0.5
  Osorno Ad.;40&deg 36' 52'' S;61;2013;3;25;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2013;3;26;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2013;3;27;0.0
  Osorno Ad.;40&deg 36' 52'' S;61;2013;3;28;0.0
